amory_lovins_a_50_year_plan_for_energy,1165810,TEDSalon NY2012,2012-03-22
amory_lovins_on_winning_the_oil_endgame,856146,TED2005,2005-02-02
david_binder_the_arts_festival_revolution,679354,TEDGlobal 2012,2012-06-26
edith_widder_glowing_life_in_an_underwater_world,586185,Mission Blue Voyage,2010-04-09
edith_widder_how_we_found_the_giant_squid,3834414,TED2013,2013-02-26
edith_widder_the_weird_and_wonderful_world_of_bioluminescence,1257136,TED2011,2011-03-03
franco_sacchi_on_nollywood,226812,TEDGlobal 2007,2007-06-06
manal_al_sharif_a_saudi_woman_who_dared_to_drive,1537411,TEDGlobal 2013,2013-06-11
mike_degruy_hooked_by_octopus,969376,Mission Blue Voyage,2010-04-07
morgan_spurlock_the_greatest_ted_talk_ever_sold,2083947,TED2011,2011-03-02
romulus_whitaker_the_real_danger_lurking_in_the_water,403377,TEDIndia 2009,2009-11-05
sharmeen_obaid_chinoy_inside_a_school_for_suicide_bombers,1067553,TED2010,2010-02-10
shih_chieh_huang_sculptures_that_d_be_at_home_at_the_bottom_of_the_ocean,839573,TED2014,2014-03-17
simon_berrow_how_do_you_save_a_shark_you_know_nothing_about,485809,TEDxDublin,2010-03-29
the_secret_life_of_plankton,200671,TED-Ed,2012-04-02
mia_nacamulli_the_benefits_of_a_bilingual_brain,0,TED-Ed,2015-06-23