,Unnamed: 0,slug,view_count,event,filmed
0,0,9_11_healing_the_mothers_who_found_forgiveness_friendship,836750,TEDWomen 2010,2010-12-12
1,1,a_choir_as_big_as_the_internet,400751,Eric Whitacre's Virtual Choir,2010-03-10
2,3,a_robot_that_flies_like_a_bird,6331411,TEDGlobal 2011,2011-07-15
3,4,a_ted_speaker_s_worst_nightmare,2984064,TED2012,2012-03-01
4,5,a_whistleblower_you_haven_t_heard,2004839,TEDxRotterdam 2010,2010-06-04
5,6,aakash_odedra_a_dance_in_a_hurricane_of_paper_wind_and_light,831464,TEDGlobal 2014,2014-10-21
6,7,aala_el_khani_what_it_s_like_to_be_a_parent_in_a_war_zone,943318,TEDxManchester,2016-02-14
9,13,abigail_marsh_why_some_people_are_more_altruistic_than_others,1775619,TEDSummit,2016-06-26
10,17,adam_alter_why_our_screens_make_us_less_happy,2613880,TED2017,2017-04-24
11,19,adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer,1010021,TEDxStanford,2016-04-24
12,20,adam_driver_my_journey_from_marine_to_actor,4588988,TED Talks Live,2015-11-03
13,22,adam_galinsky_how_to_speak_up_for_yourself,3430090,TEDxNewYork,2016-09-10
14,24,adam_grant_are_you_a_giver_or_a_taker,3917466,TED@IBM,2016-11-15
16,29,adam_savage_my_love_letter_to_cosplay,1778915,TED2016,2016-02-16
17,30,adam_savage_s_obsessions,1724294,EG 2008,2008-12-12
19,36,ahn_trio_a_modern_take_on_piano_violin_cello,760347,TEDWomen 2010,2010-12-08
20,37,aimee_mullins_on_running,1037813,TED1998,1998-02-02
21,38,aimee_mullins_prosthetic_aesthetics,3549255,TED2009,2009-02-05
22,43,al_gore_on_averting_climate_crisis,3229810,TED2006,2006-02-25
23,46,al_gore_warns_on_latest_climate_trends,792178,TED2009,2009-02-06
28,56,alan_smith_why_we_re_so_bad_at_statistics,1471510,TEDxExeter,2016-04-15
29,58,alastair_gray_how_fake_handbags_fund_terrorism_and_organized_crime,891933,TED@Tommy,2017-11-14
30,63,alejandro_sanchez_alvarado_to_solve_old_problems_study_new_species,1156528,TEDxKC,2016-08-19
31,64,aleph_molinari_let_s_bridge_the_digital_divide,121438,TEDxSanMigueldeAllende,2011-08-06
35,69,alex_steffen,992921,TEDGlobal 2011,2011-07-12
36,70,alex_steffen_sees_a_sustainable_future,1442915,TEDGlobal 2005,2005-07-07
39,75,alexander_betts_why_brexit_happened_and_what_to_do_next,2543512,TEDSummit,2016-06-29
40,77,alexander_wagner_what_really_motivates_people_to_be_honest_in_business,1219280,TEDxZurich,2016-11-11
42,84,alicia_garza_patrisse_cullors_and_opal_tometi_an_interview_with_the_founders_of_black_lives_matter,811084,TEDWomen 2016,2016-10-27
46,98,alyssa_monks_how_loss_helped_one_artist_find_beauty_in_imperfection,1176507,TEDxIndianaUniversity,2015-11-13
47,101,amanda_palmer_jherek_bischoff_usman_riaz_space_oddity,748397,TED2016,2016-02-19
48,104,ameenah_gurib_fakim_an_interview_with_mauritius_s_first_female_president,725877,TEDGlobal 2017,2017-08-27
49,107,amel_karboul_the_global_learning_crisis_and_what_to_do_about_it,1181853,TED@BCG Milan,2017-10-04
50,110,amit_sood_every_piece_of_art_you_ve_ever_wanted_to_see_up_close_and_searchable,950488,TED2016,2016-02-17
51,616,amy_adele_hasinoff_how_to_practice_safe_sexting,1326919,TEDxMileHigh,2016-06-25
52,618,amy_green_a_video_game_to_cope_with_grief,1263054,TEDNYC,2017-02-15
55,624,anab_jain_why_we_need_to_imagine_different_futures,1458643,TED2017,2017-04-24
57,626,anand_giridharadas_a_letter_to_all_who_have_lost_in_this_era,977966,TEDSummit,2016-06-29
58,640,andres_ruzo_the_mythical_boiling_river_of_the_amazon,1364659,TEDGlobal 2014,2014-10-06
61,649,andrew_pelling_this_scientist_makes_ears_out_of_apples,1213554,TED2016,2016-02-15
62,654,andrew_youn_3_reasons_why_we_can_win_the_fight_against_poverty,1198818,TED2016,2016-02-17
65,661,angela_wang_how_china_is_changing_the_future_of_shopping,850937,TED@BCG Milan,2017-10-04
66,664,ani_liu_smelfies_and_other_experiments_in_synthetic_biology,807370,TEDxBeaconStreet,2016-11-19
67,665,anika_paulson_how_i_found_myself_through_music,955237,TED2017,2017-04-24
69,668,anil_seth_how_your_brain_hallucinates_your_conscious_reality,3898551,TED2017,2017-04-24
70,669,anindya_kundu_the_boost_students_need_to_overcome_obstacles,1208079,TED Residency,2017-06-06
71,670,anjali_tripathi_why_earth_may_someday_look_like_mars,1005638,TEDxBeaconStreet,2015-11-14
72,671,anjan_chatterjee_how_your_brain_decides_what_is_beautiful,1833460,TEDMED 2016,2016-11-30
73,672,anjan_sundaram_why_i_risked_my_life_to_expose_a_government_massacre,840582,TED2017,2017-04-24
76,676,anna_heringer_the_warmth_and_wisdom_of_mud_buildings,902282,TED2017,2017-04-24
77,679,anne_lamott_12_truths_i_learned_from_life_and_writing,2303278,TED2017,2017-04-24
78,680,anne_madden_meet_the_microscopic_life_in_your_home_and_on_your_face,1133180,TED2017,2017-04-24
80,690,anthony_d_romero_this_is_what_democracy_looks_like,1052210,TED2017,2017-04-24
81,691,anthony_goldbloom_the_jobs_we_ll_lose_to_machines_and_the_ones_we_won_t,2083757,TED2016,2016-02-15
82,701,ari_wallach_3_ways_to_plan_for_the_very_long_term,1734621,TEDxMidAtlantic,2016-10-21
83,705,armando_azua_bustos_the_most_martian_place_on_earth,920296,TED2017,2017-04-24
84,706,arthur_benjamin_does_mathemagic,8496155,TED2005,2005-02-02
85,707,arthur_benjamin_s_formula_for_changing_math_education,2253748,TED2009,2009-02-05
87,718,ashley_judd_how_online_abuse_of_women_has_spiraled_out_of_control,1547676,TEDWomen 2016,2016-10-27
89,720,ashton_applewhite_let_s_end_ageism,1201816,TED2017,2017-04-24
90,721,ashton_cofer_a_young_inventor_s_plan_to_recycle_styrofoam,1127483,TED-Ed Weekend,2016-12-03
91,723,astonishing_performance_by_a_venezuelan_youth_orchestra_1,2106661,TED2009,2009-02-05
92,726,atul_gawande_want_to_get_great_at_something_get_a_coach,1017909,TED2017,2017-04-24
94,729,augie_picado_the_real_reason_manufacturing_jobs_are_disappearing,1416551,TED@UPS,2017-07-20
95,734,award_winning_teen_age_science_in_action,927023,TEDxWomen 2011,2011-12-08
102,775,benjamin_grant_what_it_feels_like_to_see_earth_from_space,1070602,TEDxSkoll,2017-04-07
105,781,beth_malone_how_my_dad_s_dementia_changed_my_idea_of_death_and_life,887600,TED Residency,2017-06-06
106,783,bettina_warburg_how_the_blockchain_will_radically_transform_the_economy,2713603,TEDSummit,2016-06-29
108,791,bill_gates,4493696,TED2010,2010-02-12
109,795,bill_gates_unplugged,2684208,TED2009,2009-02-02
114,801,bill_t_jones_the_dancer_the_singer_the_cellist_and_a_moment_of_creative_magic,1292993,TED2015,2015-03-18
115,809,bjarke_ingels_hedonistic_sustainability,431522,TEDxEast,2011-05-09
117,812,blaise_aguera,1737744,TED2010,2010-02-11
118,813,blaise_aguera_y_arcas_demos_photosynth,4800280,TED2007,2007-03-03
119,814,blaise_aguera_y_arcas_how_computers_are_learning_to_be_creative,1505719,TED@BCG Paris,2016-05-18
121,819,bobby_mcferrin_hacks_your_brain_with_music,3318684,World Science Festival,2009-06-10
124,830,brene_brown_on_vulnerability,32719403,TEDxHouston,2010-06-06
126,837,brian_greene_on_string_theory,4290372,TED2005,2005-02-02
127,838,brian_greene_why_is_our_universe_fine_tuned_for_life,3511842,TED2012,2012-02-27
128,839,brian_little_who_are_you_really_the_puzzle_of_personality,4713101,TED2016,2016-02-16
130,842,brittney_cooper_the_racial_politics_of_time,730813,TEDWomen 2016,2016-10-26
131,843,bruce_aylward_how_we_ll_stop_polio,523279,TED2011,2011-03-03
132,844,bruce_aylward_humanity_vs_ebola_the_winning_strategies_in_a_terrifying_war,872282,TEDxPlaceDesNations,2014-12-11
136,850,bruno_bowden_folds_while_rufus_cappadocia_plays,379411,TED2008,2008-02-02
137,851,bruno_maisonnier_dance_tiny_robots,1208472,TEDxConcorde,2013-01-24
139,857,caitlin_doughty_a_burial_practice_that_nourishes_the_planet,1017308,TEDMED 2016,2016-11-30
140,858,caitlin_quattromani_and_lauran_arledge_how_our_friendship_survives_our_opposing_politics,944642,TEDxMileHigh,2017-07-08
141,860,caleb_barlow_where_is_cybercrime_really_coming_from,1384272,TED@IBM,2016-11-15
145,867,camille_a_brown_a_visual_history_of_social_dance_in_25_moves,867044,TED Studio,2016-06-01
146,873,carina_morillo_to_understand_autism_don_t_look_away,499111,TEDxRiodelaPlata,2016-10-22
147,874,carl_honore_praises_slowness,2523861,TEDGlobal 2005,2005-07-07
149,879,carlos_bautista_the_awful_logic_of_land_mines_and_an_app_that_helps_people_avoid_them,770808,TED Residency,2017-06-06
151,886,caroline_paul_to_raise_brave_girls_encourage_adventure,1608575,TEDWomen 2016,2016-10-26
152,888,carolyn_bertozzi_what_the_sugar_coating_on_your_cells_is_trying_to_tell_you,1024113,TEDxStanford,2016-04-24
154,892,carrie_nugent_adventures_of_an_asteroid_hunter,1118334,TED2016,2016-02-15
155,893,carrie_poppy_a_scientific_approach_to_the_paranormal,1340674,TEDxVienna,2016-10-22
156,896,casey_brown_know_your_worth_and_then_ask_for_it,2334987,TEDxColumbusWomen,2015-05-28
157,897,casey_gerald_the_gospel_of_doubt,1550866,TED2016,2016-02-19
158,898,cat_laine_engineering_a_better_life_for_all,156172,Business Innovation Factory,2009-10-07
160,904,cathy_o_neil_the_era_of_blind_faith_in_big_data_must_end,1078490,TED2017,2017-04-24
161,905,cedric_villani_what_s_so_sexy_about_math,1680106,TED2016,2016-02-16
162,911,chance_coughenour_how_your_pictures_can_help_reclaim_lost_history,777447,TEDxHamburg,2016-06-08
163,913,charity_wayua_a_few_ways_to_fix_an_ailing_government,993919,TED@IBM,2016-11-15
166,918,charles_leadbeater_on_education,788139,TEDSalon London 2010,2010-04-25
167,919,charles_leadbeater_on_innovation,1447500,TEDGlobal 2005,2005-07-14
168,928,chetan_bhatt_dare_to_refuse_the_origin_myths_that_claim_who_you_are,1191467,TEDxExeter,2015-04-24
169,929,cheyenne_cochrane_a_celebration_of_natural_hair,1238095,TEDxBeaconStreet,2016-11-19
170,931,chika_ezeanya_esiobu_how_africa_can_use_its_traditional_knowledge_to_make_progress,918259,TEDGlobal 2017,2017-08-27
171,933,chimamanda_ngozi_adichie_we_should_all_be_feminists,1497916,TEDxEuston,2012-12-01
172,934,chinaka_hodge_what_will_you_tell_your_daughters_about_2016,1161736,TEDWomen 2016,2016-10-28
174,942,chris_anderson_shares_his_vision_for_ted,329558,TED2002,2002-02-02
176,955,chris_milk_the_birth_of_virtual_reality_as_an_art_form,832700,TED2016,2016-02-18
177,956,chris_sheldrick_a_precise_three_word_address_for_every_place_on_earth,1065563,TEDGlobal 2017,2017-08-27
178,958,christen_reighter_i_don_t_want_children_stop_telling_me_i_ll_change_my_mind,1189930,TEDxMileHighWomen,2016-10-28
179,959,christian_rodriguez_what_teen_pregnancy_looks_like_in_latin_america,1124144,TEDGlobal 2017,2017-08-27
180,961,christiane_amanpour_how_to_seek_truth_in_the_era_of_fake_news,1248506,TEDGlobal>NYC,2017-09-20
182,966,christopher_bell_bring_on_the_female_superheroes,1061768,TEDxColoradoSprings,2015-10-17
183,967,christopher_deam_restyles_the_airstream,310997,TED2002,2002-02-02
184,970,christopher_m00t_poole_the_case_for_anonymity_online,1466795,TED2010,2010-02-12
185,973,christopher_soghoian_a_brief_history_of_phone_wiretapping_and_how_to_avoid_it,1295810,TED2015,2015-03-17
186,975,christopher_soghoian_your_smartphone_is_a_civil_rights_issue,1374324,TEDSummit,2016-06-29
190,992,courtney_martin_reinventing_feminism,973330,TEDWomen 2010,2010-12-10
191,993,courtney_martin_the_new_american_dream,1459735,TED2016,2016-02-19
192,995,craig_venter_on_dna_and_the_sea,566712,TEDGlobal 2005,2005-02-24
193,996,craig_venter_unveils_synthetic_life,1097428,TED in the Field,2010-05-21
194,998,curtis_wall_street_carroll_how_i_learned_to_read_and_trade_stocks_in_prison,2445709,TEDxSanQuentin,2016-01-22
195,1000,cynthia_erivo_natural_woman_and_johnny_and_donna,113220,TED2017,2017-04-24
196,1003,daan_roosegaarde_a_smog_vacuum_cleaner_and_other_magical_city_designs,914990,TED2017,2017-04-24
197,1004,daffodil_hudson_is_this_the_cure_for_stage_fright,755011,TED in the Field,2014-04-01
198,1013,damon_davis_what_i_saw_at_the_ferguson_protests,960920,TED2017,2017-04-24
200,1024,dan_bell_inside_america_s_dead_shopping_malls,1803064,TEDxMidAtlantic,2016-10-21
201,1026,dan_bricklin_meet_the_inventor_of_the_electronic_spreadsheet,1031721,TEDxBeaconStreet,2016-11-19
202,1029,dan_dennett_cute_sexy_sweet_funny,2434627,TED2009,2009-02-05
203,1031,dan_dennett_on_our_consciousness,2771073,TED2003,2003-02-27
204,1032,dan_gartenberg_the_brain_benefits_of_deep_sleep_and_how_to_get_more_of_it,1698325,TED Residency,2017-06-06
205,1033,dan_gilbert_asks_why_are_we_happy,15141169,TED2004,2004-02-02
206,1034,dan_gilbert_researches_happiness,3847941,TEDGlobal 2005,2005-07-07
207,1035,dan_gilbert_you_are_always_changing,3528046,TED2014,2014-03-18
212,1054,daniel_schnitzer_inventing_is_the_easy_part,215259,TEDxPittsburgh,2011-11-19
213,1059,danielle_de_niese_a_flirtatious_aria,799969,TEDGlobal 2011,2011-07-12
214,1062,danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are,1460077,TEDxExeter,2016-04-15
216,1066,dao_nguyen_what_makes_something_go_viral,883219,TEDNYC,2017-10-17
217,1070,dave_brain_what_a_planet_needs_to_sustain_life,1382623,TEDxBoulder,2015-09-19
218,1078,david_autor_why_are_there_still_so_many_jobs,1338145,TEDxCambridge,2016-09-29
219,1079,david_baron_you_owe_it_to_yourself_to_experience_a_total_solar_eclipse,1578415,TEDxMileHigh,2017-07-08
220,1080,david_birch_identity_without_a_name,177930,TEDxSussexUniversity,2012-04-27
222,1084,david_brenner_a_new_weapon_in_the_fight_against_superbugs,703773,TED2017,2017-04-24
223,1087,david_burkus_why_you_should_know_how_much_your_coworkers_get_paid,1800727,TEDxUniversityofNevada,2016-01-23
224,1089,david_byrne_sings_nothing_but_flowers,635953,TED2010,2010-02-12
225,1090,david_camarillo_why_helmets_don_t_prevent_concussions_and_what_might,1244991,TEDxStanford,2016-04-24
228,1093,david_casarett_a_doctor_s_case_for_medical_marijuana,1194064,TEDMED 2016,2016-11-30
230,1096,david_damberger_what_happens_when_an_ngo_admits_failure,226696,TEDxYYC,2011-04-01
237,1115,david_lee_why_jobs_of_the_future_won_t_feel_like_work,1456827,TED@UPS,2017-07-20
240,1121,david_miliband_the_refugee_crisis_is_a_test_of_our_character,1233040,TED2017,2017-04-24
244,1130,david_r_williams_how_racism_makes_us_sick,1091134,TEDMED 2016,2016-11-30
245,1132,david_s_rose_on_pitching_to_vcs,1047869,TED2007,2007-03-01
246,1136,david_titley_how_the_military_fights_climate_change,770270,TED2017,2017-04-24
247,1137,david_whyte_a_lyrical_bridge_between_past_present_and_future,876944,TED2017,2017-04-24
249,1142,dean_ornish_on_healing,1158041,TED2004,2004-02-02
250,1143,dean_ornish_on_the_world_s_killer_diet,2357139,TED2006,2006-02-23
251,1146,debate_does_the_world_need_nuclear_energy,1327023,TED2010,2010-02-12
253,1149,deborah_lipstadt_behind_the_lies_of_holocaust_denial,1034167,TEDxSkoll,2017-04-07
256,1154,deep_ocean_mysteries_and_wonders,282981,TED-Ed,2012-03-12
257,1155,deepika_kurup_a_young_scientist_s_quest_for_clean_water,1011155,TEDWomen 2016,2016-10-26
258,1156,deeyah_khan_what_we_don_t_know_about_europe_s_muslim_kids,1260773,TEDxExeter,2016-04-15
259,1157,defend_our_freedom_to_share_or_why_sopa_is_a_bad_idea,1283564,TEDSalon NY2012,2012-01-17
261,1159,dena_simmons_how_students_of_color_confront_impostor_syndrome,1046472,TED Talks Live,2015-11-02
265,1170,devita_davison_how_urban_agriculture_is_transforming_detroit,695472,TED2017,2017-04-24
267,1174,diane_j_savino_the_case_for_same_sex_marriage,294934,New York State Senate,2009-12-02
268,1178,diebedo_francis_kere_how_to_build_with_clay_and_community,918097,TEDCity2.0,2013-09-20
270,1184,don_tapscott_how_the_blockchain_is_changing_money_and_business,2703790,TEDSummit,2016-06-28
271,1191,douglas_adams_parrots_the_universe_and_everything,476066,University of California,2001-05-16
272,1196,duarte_geraldino_what_we_re_missing_in_the_debate_about_immigration,943380,TED Residency,2017-06-06
273,1200,e_o_wilson_on_saving_life_on_earth,1375612,TED2007,2007-03-08
274,1202,ed_boyden,948571,TED2011,2011-03-03
275,1203,ed_boyden_baby_diapers_inspired_this_new_way_to_study_the_brain,1291367,TEDSummit,2016-06-26
276,1207,eddi_reader_sings_about_what_you_ve_got,436095,TED2003,2003-02-02
277,1208,eddi_reader_sings_kiteflyer_s_hill,520277,TED2003,2003-02-02
278,1212,eduardo_briceno_how_to_get_better_at_the_things_you_care_about,2303320,TEDxManhattanBeach,2016-11-05
280,1219,edwidge_danticat_stories_of_haiti,51206,University of California,2004-10-13
282,1221,el_seed_a_project_of_peace_painted_across_50_buildings,838996,TEDSummit,2016-06-26
283,1225,elene_gabre_madhin_on_ethiopian_economics,589301,TEDGlobal 2007,2007-06-06
285,1229,elif_shafak_the_revolutionary_power_of_diverse_thought,1363674,TEDGlobal>NYC,2017-09-20
286,1230,elise_roy_when_we_design_for_disability_we_all_benefit,1201406,TEDxMidAtlantic,2015-09-25
287,1231,elizabeth_blackburn_the_science_of_cells_that_never_get_old,1095018,TED2017,2017-04-24
289,1234,elizabeth_lesser_say_your_truths_and_seek_them_in_others,1347803,TEDWomen 2016,2016-10-27
292,1242,elizabeth_wayne_we_can_hack_our_immune_cells_to_fight_cancer,1036406,TED2017,2017-04-24
293,1246,ellen_jorgensen_what_you_need_to_know_about_crispr,1493726,TEDSummit,2016-06-27
294,1249,elon_musk_the_future_we_re_building_and_boring,7906237,TED2017,2017-04-24
296,1257,emily_esfahani_smith_there_s_more_to_life_than_being_happy,3196919,TED2017,2017-04-24
297,1260,emily_parsons_lord_art_made_of_the_air_we_breathe,859018,TEDxYouth@Sydney,2016-05-24
298,1262,emma_marris_nature_is_everywhere_we_just_need_to_learn_to_see_it,1043112,TEDSummit,2016-06-26
299,1265,emtithal_mahmoud_a_young_poet_tells_the_story_of_darfur,888457,TEDMED 2016,2016-11-30
302,1272,eric_dyer_the_forgotten_art_of_the_zoetrope,851005,TEDxCharlottesville,2016-11-11
304,1274,eric_haseltine_what_will_be_the_next_big_scientific_breakthrough,1507408,TED Talks Live,2015-11-05
305,1275,eric_lewis_plays_chaos_and_harmony,394144,TED2009,2009-02-05
306,1276,eric_lewis_strikes_chords_to_rock_the_jazz_world,702770,TED2009,2009-02-06
307,1277,eric_liu_there_s_no_such_thing_as_not_voting,808668,TEDNYC,2016-09-07
309,1290,erika_gregory_the_world_doesn_t_need_more_nuclear_weapons,919134,TEDWomen 2016,2016-10-28
310,1291,erin_marie_saltman_how_young_people_join_violent_extremist_groups_and_how_to_stop_them,980100,TEDxGhent,2016-06-18
313,1302,ethel_performs_blue_room,391085,TED2006,2006-02-02
314,1303,euna_lee_what_i_learned_as_a_prisoner_in_north_korea,1736178,TEDxIndianaUniversity,2016-10-29
319,1309,eve_ensler,1364953,TEDWomen 2010,2010-12-04
320,1312,eve_ensler_on_security,1094416,TEDGlobal 2005,2005-07-07
324,1322,fawn_qiu_easy_diy_projects_for_kid_engineers,1085114,TED Residency,2016-07-12
326,1330,francoise_mouly_the_stories_behind_the_new_yorker_s_iconic_covers,1015861,TEDNYC,2017-03-08
330,1337,franz_freudenthal_a_new_way_to_heal_hearts_without_surgery,1263165,TED2016,2016-02-16
331,1345,g_t_bynum_a_republican_mayor_s_plan_to_replace_partisanship_with_policy,685504,TEDxPennsylvaniaAvenue,2017-02-09
333,1348,gabe_zichermann_how_games_make_kids_smarter,451735,TEDxKids@Brussels,2011-06-01
334,1350,gabriela_gonzalez_how_ligo_discovered_gravitational_waves_and_what_might_be_next,388747,TED2017,2017-04-24
337,1354,garry_kasparov_don_t_fear_intelligent_machines_work_with_them,1238595,TED2017,2017-04-24
340,1362,gary_vaynerchuk_do_what_you_love_no_excuses,778975,Web 2.0 Expo 2008,2008-09-19
341,1364,gautam_bhan_a_bold_plan_to_house_100_million_people,233188,TED Talks India,2017-12-10
342,1371,gel_gotta_share,359961,Gel Conference,2011-04-28
345,1384,george_tulevski_the_next_step_in_nanotechnology,1330988,TED@IBM,2016-11-15
346,1389,gerard_ryle_how_the_panama_papers_journalists_broke_the_biggest_leak_in_history,1017396,TEDSummit,2016-06-26
348,1391,gever_tulley_on_5_dangerous_things_for_kids,4467972,TED2007,2007-03-03
349,1392,gever_tulley_s_tinkering_school_in_action,1167029,TED2009,2009-02-06
350,1394,giles_duley_when_a_reporter_becomes_the_story,153585,TEDxObserver,2012-03-10
351,1395,gill_hicks_i_survived_a_terrorist_attack_here_s_what_i_learned,840740,TEDxSydney,2016-05-24
352,1396,giorgia_lupi_how_we_can_find_ourselves_in_data,1133833,TEDNYC,2017-03-08
353,1397,giulia_enders_the_surprisingly_charming_science_of_our_gut,1560602,TEDxDanubia,2017-05-04
355,1401,gonzalo_vilarino_how_argentina_s_blind_soccer_team_became_champions,460585,TEDxRiodelaPlata,2015-09-24
357,1404,grace_kim_how_cohousing_can_make_us_happier_and_live_longer,1656186,TED2017,2017-04-24
358,1405,grady_booch_don_t_fear_superintelligence,1451877,TED@IBM,2016-11-15
360,1410,greg_gage_electrical_experiments_with_plants_that_count_and_communicate,1326543,TED2017,2017-04-24
362,1418,gretchen_carlson_david_brooks_political_common_ground_in_a_polarized_united_states,946628,TED Dialogues,2017-03-01
363,1419,gretchen_carlson_how_we_can_end_sexual_harassment_at_work,1075757,TEDWomen 2017,2017-11-01
364,1421,gus_casely_hayford_the_powerful_stories_that_shaped_africa,985095,TEDGlobal 2017,2017-08-27
366,1425,haas_hahn_how_painting_can_transform_communities,1703135,TEDGlobal 2014,2014-10-08
367,1428,halla_tomasdottir,600754,TEDWomen 2010,2010-12-08
368,1429,halla_tomasdottir_it_s_time_for_women_to_run_for_office,900445,TEDWomen 2016,2016-10-28
369,1431,handpring_puppet_co_the_genius_puppetry_behind_war_horse,1559314,TED2011,2011-03-01
370,1434,hannah_fry_is_life_really_that_complex,377051,TEDxUCL,2012-06-03
371,1439,hans_rosling_at_state,1507205,TED@State,2009-06-04
372,1440,hans_rosling_on_global_population_growth,3035554,TED@Cannes,2010-06-21
